Loan #,Borrowing Entity,Address,County,City,State,Zip,Origination Date,Loan Amount,Current Balance,Current Rehab Amount,Next Due Payment,ARV,Total Cost,LTV,LTC,Rate,Credit
3888,"Monty C Investments, LLC",1009 Romeria 2,Travis,Austin,TX,78757,4/22/2019,"$336,800.00 ","$314,000.00 ","$22,800.00 ",5/1/2020,"$482,000.00 ","$361,094.00 ",69.88%,93.27%,12.00%,746/769
3893,"Waterloo City Construction, LLC",6503 Felix B,Travis,Austin,TX,78741,5/7/2019,"$462,000.00 ","$389,000.00 ","$73,000.00 ",5/1/2020,"$660,000.00 ","$509,509.00 ",70.00%,90.68%,12.50%,730
3988,"Community Development Group, LLC",711 Whitney A,Harris,Houston,TX,77022,6/23/2019,"$3,906,100.00 ","$736,200.00 ","$3,169,900.00 ",5/1/2020,"$5,730,000.00 ","$4,524,515.00 ",68.17%,86.33%,12.50%,"709, 743, 738, 559"
4034,"CONSIGLIA ENTERPRISES, LLC",110 W 55th,Travis,Austin,TX,78751,7/17/2019,"$306,600.00 ","$173,000.00 ","$133,600.00 ",5/1/2020,"$438,000.00 ","$353,864.00 ",70.00%,86.64%,11.00%,703
3931,"Triple B Multi-Solutions, LLC",215 Bundy,Bexar,San Antonio,TX,78231,7/19/2019,"$103,600.00 ","$65,000.00 ","$38,600.00 ",5/1/2020,"$148,000.00 ","$129,140.00 ",70.00%,80.22%,12.50%,699
3990,Cordova Solutions LLC,776 Cattle,Hays,Dripping Springs,TX,78620,8/7/2019,"$333,600.00 ","$333,600.00 ",$0.00 ,5/1/2020,"$556,000.00 ","$622,426.00 ",60.00%,53.60%,14.50%,585
3982,"Grover Investment, LLC",7302 Rhobell Street,Harris,Houston,TX,77016,8/12/2019,"$89,600.00 ","$67,000.00 ","$22,600.00 ",5/1/2020,"$128,000.00 ","$110,346.00 ",70.00%,81.20%,10.00%,757
4077,"Black Dot Builders, LLC",6217 Clovis St Unit A,Travis,Austin,TX,78741,9/3/2019,"$753,300.00 ","$331,000.00 ","$422,300.00 ",5/1/2020,"$860,000.00 ","$755,760.00 ",87.59%,99.67%,10.00%,736
4079,"MKM Superior Homes, LLC",4226 Honea Egypt Rd,Montgomery,Montgomery,TX,77356,9/10/2019,"$360,500.00 ","$154,000.00 ","$206,500.00 ",5/1/2020,"$515,000.00 ","$486,310.00 ",70.00%,74.13%,12.00%,674
4117,"ATR Financial Interests, LLC",1442 Bob White,Comal,Spring Branch,TX,78070,10/2/2019,"$143,500.00 ","$105,000.00 ","$38,500.00 ",5/1/2020,"$205,000.00 ","$160,571.00 ",70.00%,89.37%,12.50%,707
4145,"ATR Financial Interests, LLC",167 High Point,Comal,Spring Branch,TX,78070,10/11/2019,"$256,700.00 ","$172,000.00 ","$84,700.00 ",5/1/2020,"$414,000.00 ","$283,864.00 ",62.00%,90.43%,12.50%,707
4157,"360 Degree Construction, LLC",935 E 51st St Unit A,Travis,Austin,TX,78751,10/24/2019,"$791,000.00 ","$425,000.00 ","$366,000.00 ",5/1/2020,"$1,065,000.00 ","$818,975.00 ",74.27%,96.58%,10.00%,735
4151,AAA Home Builder LLC,9007 Daytonia Ave,Dallas,Dallas,TX,75218,10/29/2019,"$403,100.00 ","$349,000.00 ","$54,100.00 ",5/1/2020,"$600,000.00 ","$479,208.00 ",67.18%,84.12%,10.25%,668
4142,"Transom Capital, LLC",2011 E 11th Street,Travis,Austin,TX,78702,10/18/2019,"$737,000.00 ","$326,000.00 ","$411,000.00 ",5/1/2020,"$1,130,000.00 ","$810,763.00 ",65.22%,90.90%,12.50%,768/683
4078,"GBMC HOLDING,LLC",1150 N Academy Unit A,Comal,New Braunfels,TX,78130,11/1/2019,"$1,708,000.00 ","$481,000.00 ","$1,227,000.00 ",5/1/2020,"$2,440,000.00 ","$2,143,440.00 ",70.00%,79.68%,11.00%,779
